oos_period,variant,row_model,col_model,adjacency
20,legacy,1,1,0.0
20,legacy,1,2,9010.063444897738
20,legacy,1,3,6.354453763430312
20,legacy,1,4,19749.638350759946
20,legacy,2,1,0.0
20,legacy,2,2,0.0
20,legacy,2,3,2.0792071010170017
20,legacy,2,4,6192.130836046736
20,legacy,3,1,0.0
20,legacy,3,2,0.0
20,legacy,3,3,0.0
20,legacy,3,4,3.677038965076831
20,legacy,4,1,0.0
20,legacy,4,2,0.0
20,legacy,4,3,0.0
20,legacy,4,4,0.0
21,legacy,1,1,0.0
21,legacy,1,2,8.04420261375019
21,legacy,1,3,1.9954613150990204
21,legacy,1,4,3465.3465346534435
21,legacy,2,1,0.0
21,legacy,2,2,0.0
21,legacy,2,3,0.0
21,legacy,2,4,0.0
21,legacy,3,1,0.0
21,legacy,3,2,27447.897018609237
21,legacy,3,3,0.0
21,legacy,3,4,6.91791277165481
21,legacy,4,1,0.0
21,legacy,4,2,10354.49287502745
21,legacy,4,3,0.0
21,legacy,4,4,0.0
22,legacy,1,1,0.0
22,legacy,1,2,1.1705585792503983
22,legacy,1,3,2.5104074622451082
22,legacy,1,4,95.88437931738993
22,legacy,2,1,0.0
22,legacy,2,2,0.0
22,legacy,2,3,0.3205684309675348
22,legacy,2,4,0.12792343426043676
22,legacy,3,1,0.0
22,legacy,3,2,0.0
22,legacy,3,3,0.0
22,legacy,3,4,938.6580468844425
22,legacy,4,1,0.0
22,legacy,4,2,0.0
22,legacy,4,3,0.0
22,legacy,4,4,0.0
23,legacy,1,1,0.0
23,legacy,1,2,0.0
23,legacy,1,3,0.0
23,legacy,1,4,0.0
23,legacy,2,1,14561.492916953106
23,legacy,2,2,0.0
23,legacy,2,3,0.3281911121205747
23,legacy,2,4,18019.444569233707
23,legacy,3,1,150.4192174359881
23,legacy,3,2,0.0
23,legacy,3,3,0.0
23,legacy,3,4,4.785945880675234
23,legacy,4,1,93139.35318024816
23,legacy,4,2,0.0
23,legacy,4,3,0.0
23,legacy,4,4,0.0
24,legacy,1,1,0.0
24,legacy,1,2,386.7271402831983
24,legacy,1,3,0.0
24,legacy,1,4,0.0
24,legacy,2,1,0.0
24,legacy,2,2,0.0
24,legacy,2,3,0.27504720319963893
24,legacy,2,4,0.0
24,legacy,3,1,0.03387360357110501
24,legacy,3,2,0.0
24,legacy,3,3,0.0
24,legacy,3,4,0.03996655424524791
24,legacy,4,1,0.0
24,legacy,4,2,386.7271402831983
24,legacy,4,3,0.0
24,legacy,4,4,0.0
25,legacy,1,1,0.0
25,legacy,1,2,0.0
25,legacy,1,3,0.0
25,legacy,1,4,0.0
25,legacy,2,1,448.56668582029016
25,legacy,2,2,0.0
25,legacy,2,3,0.0
25,legacy,2,4,25881.151475286828
25,legacy,3,1,34.21955623545138
25,legacy,3,2,0.09659283655711076
25,legacy,3,3,0.0
25,legacy,3,4,0.0
25,legacy,4,1,2152.546444355146
25,legacy,4,2,0.0
25,legacy,4,3,388.51203550399305
25,legacy,4,4,0.0
26,legacy,1,1,0.0
26,legacy,1,2,0.0
26,legacy,1,3,685.3282178661847
26,legacy,1,4,0.0
26,legacy,2,1,419.26411493692837
26,legacy,2,2,0.0
26,legacy,2,3,0.0
26,legacy,2,4,0.0
26,legacy,3,1,0.0
26,legacy,3,2,2103.2315765020626
26,legacy,3,3,0.0
26,legacy,3,4,0.0
26,legacy,4,1,0.0
26,legacy,4,2,0.0
26,legacy,4,3,1.361369398892726
26,legacy,4,4,0.0
27,legacy,1,1,0.0
27,legacy,1,2,1760.0514937904695
27,legacy,1,3,39.15958813994313
27,legacy,1,4,133.37219330810387
27,legacy,2,1,0.0
27,legacy,2,2,0.0
27,legacy,2,3,0.0
27,legacy,2,4,0.0
27,legacy,3,1,0.0
27,legacy,3,2,2267.163545665742
27,legacy,3,3,0.0
27,legacy,3,4,33.06597762353978
27,legacy,4,1,0.0
27,legacy,4,2,265.6393905512346
27,legacy,4,3,0.0
27,legacy,4,4,0.0
28,legacy,1,1,0.0
28,legacy,1,2,9.832477616443406
28,legacy,1,3,0.0
28,legacy,1,4,1093.0332483998466
28,legacy,2,1,0.0
28,legacy,2,2,0.0
28,legacy,2,3,0.0
28,legacy,2,4,2795.972653104729
28,legacy,3,1,3216.6633199980843
28,legacy,3,2,3161.773408799068
28,legacy,3,3,0.0
28,legacy,3,4,2985.18814251636
28,legacy,4,1,0.0
28,legacy,4,2,0.0
28,legacy,4,3,0.0
28,legacy,4,4,0.0
29,legacy,1,1,0.0
29,legacy,1,2,0.0
29,legacy,1,3,0.0
29,legacy,1,4,545.7452037559614
29,legacy,2,1,0.6947106529277018
29,legacy,2,2,0.0
29,legacy,2,3,0.0
29,legacy,2,4,6590.680334328896
29,legacy,3,1,567.5365613676704
29,legacy,3,2,1875.4814703493091
29,legacy,3,3,0.0
29,legacy,3,4,0.0
29,legacy,4,1,0.0
29,legacy,4,2,0.0
29,legacy,4,3,20788.50111093517
29,legacy,4,4,0.0
30,legacy,1,1,0.0
30,legacy,1,2,0.0
30,legacy,1,3,0.24439822252775445
30,legacy,1,4,0.0
30,legacy,2,1,1521.360066633548
30,legacy,2,2,0.0
30,legacy,2,3,0.0
30,legacy,2,4,0.0
30,legacy,3,1,0.0
30,legacy,3,2,1143.667315422882
30,legacy,3,3,0.0
30,legacy,3,4,0.01804384115538037
30,legacy,4,1,687.633886650329
30,legacy,4,2,0.0
30,legacy,4,3,0.0
30,legacy,4,4,0.0
31,legacy,1,1,0.0
31,legacy,1,2,0.0
31,legacy,1,3,0.0
31,legacy,1,4,0.0
31,legacy,2,1,1794.70224523657
31,legacy,2,2,0.0
31,legacy,2,3,0.0
31,legacy,2,4,0.0
31,legacy,3,1,0.0
31,legacy,3,2,0.11954800059432356
31,legacy,3,3,0.0
31,legacy,3,4,0.0
31,legacy,4,1,81.68975306334195
31,legacy,4,2,219.80198019801966
31,legacy,4,3,81.68975306334195
31,legacy,4,4,0.0
32,legacy,1,1,0.0
32,legacy,1,2,1.2456031070901576
32,legacy,1,3,1.165200581584882e-14
32,legacy,1,4,1.1274161204621943e-14
32,legacy,2,1,0.0
32,legacy,2,2,0.0
32,legacy,2,3,0.0
32,legacy,2,4,109.90099009901014
32,legacy,3,1,0.0
32,legacy,3,2,0.04286230782112237
32,legacy,3,3,0.0
32,legacy,3,4,6.832407522943874e-14
32,legacy,4,1,0.0
32,legacy,4,2,0.0
32,legacy,4,3,0.0
32,legacy,4,4,0.0
33,legacy,1,1,0.0
33,legacy,1,2,0.0
33,legacy,1,3,0.0
33,legacy,1,4,0.0
33,legacy,2,1,4.6309565559489805
33,legacy,2,2,0.0
33,legacy,2,3,1310.1681803855347
33,legacy,2,4,0.0
33,legacy,3,1,568.0177616170763
33,legacy,3,2,0.0
33,legacy,3,3,0.0
33,legacy,3,4,0.0
33,legacy,4,1,1776.261927563215
33,legacy,4,2,2970.297029702976
33,legacy,4,3,1.0942988713063757
33,legacy,4,4,0.0
34,legacy,1,1,0.0
34,legacy,1,2,0.0
34,legacy,1,3,0.0
34,legacy,1,4,384.7622886221527
34,legacy,2,1,0.8165127104616262
34,legacy,2,2,0.0
34,legacy,2,3,0.3923152743210029
34,legacy,2,4,384.7622886221527
34,legacy,3,1,346.68539258920777
34,legacy,3,2,0.0
34,legacy,3,3,0.0
34,legacy,3,4,0.0
34,legacy,4,1,0.0
34,legacy,4,2,0.0
34,legacy,4,3,0.03809176835417904
34,legacy,4,4,0.0
35,legacy,1,1,0.0
35,legacy,1,2,88.96598203297857
35,legacy,1,3,2.0745106019409496
35,legacy,1,4,5340.029133854299
35,legacy,2,1,0.0
35,legacy,2,2,0.0
35,legacy,2,3,0.6194518833518973
35,legacy,2,4,11686.79400296595
35,legacy,3,1,0.0
35,legacy,3,2,0.0
35,legacy,3,3,0.0
35,legacy,3,4,3794.227711941328
35,legacy,4,1,0.0
35,legacy,4,2,0.0
35,legacy,4,3,0.0
35,legacy,4,4,0.0
36,legacy,1,1,0.0
36,legacy,1,2,0.0
36,legacy,1,3,0.0
36,legacy,1,4,2.237123428924698
36,legacy,2,1,2785.102796224426
36,legacy,2,2,0.0
36,legacy,2,3,0.6903976206221416
36,legacy,2,4,4565.8316246918575
36,legacy,3,1,1.1314390894273185
36,legacy,3,2,0.0
36,legacy,3,3,0.0
36,legacy,3,4,7630.289932522695
36,legacy,4,1,0.0
36,legacy,4,2,0.0
36,legacy,4,3,0.0
36,legacy,4,4,0.0
37,legacy,1,1,0.0
37,legacy,1,2,0.0
37,legacy,1,3,0.0
37,legacy,1,4,8.953922527366572
37,legacy,2,1,0.1391084606172819
37,legacy,2,2,0.0
37,legacy,2,3,0.4361014558449469
37,legacy,2,4,5.579874016561227
37,legacy,3,1,7899.296210755237
37,legacy,3,2,0.0
37,legacy,3,3,0.0
37,legacy,3,4,3.728251924697309
37,legacy,4,1,0.0
37,legacy,4,2,0.0
37,legacy,4,3,0.0
37,legacy,4,4,0.0
38,legacy,1,1,0.0
38,legacy,1,2,0.0
38,legacy,1,3,0.0875209529380335
38,legacy,1,4,2325.4765294366853
38,legacy,2,1,0.17688972189299026
38,legacy,2,2,0.0
38,legacy,2,3,0.0
38,legacy,2,4,2.4055153837573027
38,legacy,3,1,0.0
38,legacy,3,2,0.6521285543250095
38,legacy,3,3,0.0
38,legacy,3,4,0.14121852862391585
38,legacy,4,1,0.0
38,legacy,4,2,0.0
38,legacy,4,3,0.0
38,legacy,4,4,0.0
39,legacy,1,1,0.0
39,legacy,1,2,0.0
39,legacy,1,3,0.0
39,legacy,1,4,0.0
39,legacy,2,1,4.3180021021423665
39,legacy,2,2,0.0
39,legacy,2,3,0.4143885407367746
39,legacy,2,4,0.0
39,legacy,3,1,6612.119327429282
39,legacy,3,2,0.0
39,legacy,3,3,0.0
39,legacy,3,4,0.0
39,legacy,4,1,36378.96060501615
39,legacy,4,2,0.014173319330499028
39,legacy,4,3,8331.350495078688
39,legacy,4,4,0.0
40,legacy,1,1,0.0
40,legacy,1,2,0.0
40,legacy,1,3,0.0
40,legacy,1,4,27.502750275027097
40,legacy,2,1,0.05529398111069005
40,legacy,2,2,0.0
40,legacy,2,3,0.35882750324623436
40,legacy,2,4,0.0
40,legacy,3,1,3.5584947364582153
40,legacy,3,2,0.0
40,legacy,3,3,0.0
40,legacy,3,4,0.0
40,legacy,4,1,0.0
40,legacy,4,2,12313.300536130528
40,legacy,4,3,13203.232704160822
40,legacy,4,4,0.0
41,legacy,1,1,0.0
41,legacy,1,2,5.455373611722599
41,legacy,1,3,6.606561215471131
41,legacy,1,4,0.0
41,legacy,2,1,0.0
41,legacy,2,2,0.0
41,legacy,2,3,0.49808497558795667
41,legacy,2,4,0.0
41,legacy,3,1,0.0
41,legacy,3,2,0.0
41,legacy,3,3,0.0
41,legacy,3,4,0.0
41,legacy,4,1,3.0009665856620593
41,legacy,4,2,15304.950495049543
41,legacy,4,3,4.660795640934529
41,legacy,4,4,0.0
42,legacy,1,1,0.0
42,legacy,1,2,0.0
42,legacy,1,3,0.0
42,legacy,1,4,0.0
42,legacy,2,1,2.9325979902106476
42,legacy,2,2,0.0
42,legacy,2,3,0.6764081381831875
42,legacy,2,4,0.0
42,legacy,3,1,56318.660571312874
42,legacy,3,2,0.0
42,legacy,3,3,0.0
42,legacy,3,4,0.0
42,legacy,4,1,6.415738714805001
42,legacy,4,2,9.287922787364534
42,legacy,4,3,9.147635317444884
42,legacy,4,4,0.0
43,legacy,1,1,0.0
43,legacy,1,2,0.06066710741903247
43,legacy,1,3,5.325285340997234
43,legacy,1,4,0.0
43,legacy,2,1,0.0
43,legacy,2,2,0.0
43,legacy,2,3,7.592753410562372
43,legacy,2,4,0.0
43,legacy,3,1,0.0
43,legacy,3,2,0.0
43,legacy,3,3,0.0
43,legacy,3,4,0.0
43,legacy,4,1,0.09751542306714221
43,legacy,4,2,0.8637461869653305
43,legacy,4,3,0.3644519962866726
43,legacy,4,4,0.0
44,legacy,1,1,0.0
44,legacy,1,2,139269.63422738927
44,legacy,1,3,0.0
44,legacy,1,4,148702.69581940077
44,legacy,2,1,0.0
44,legacy,2,2,0.0
44,legacy,2,3,21.260046465058608
44,legacy,2,4,15924.362489612296
44,legacy,3,1,149.5472054553087
44,legacy,3,2,0.0
44,legacy,3,3,0.0
44,legacy,3,4,0.0
44,legacy,4,1,0.0
44,legacy,4,2,0.0
44,legacy,4,3,16872.522209592993
44,legacy,4,4,0.0
45,legacy,1,1,0.0
45,legacy,1,2,1.8147701475975055
45,legacy,1,3,0.0
45,legacy,1,4,2.0901424156747384
45,legacy,2,1,0.0
45,legacy,2,2,0.0
45,legacy,2,3,0.11683048238597273
45,legacy,2,4,0.0
45,legacy,3,1,0.5425386811908893
45,legacy,3,2,0.0
45,legacy,3,3,0.0
45,legacy,3,4,4.1503843405401115
45,legacy,4,1,0.0
45,legacy,4,2,4.950349043491723
45,legacy,4,3,0.0
45,legacy,4,4,0.0
46,legacy,1,1,0.0
46,legacy,1,2,0.0
46,legacy,1,3,0.0
46,legacy,1,4,134373.05834754196
46,legacy,2,1,2.9367892031789826
46,legacy,2,2,0.0
46,legacy,2,3,0.0
46,legacy,2,4,0.1681918834548692
46,legacy,3,1,5.693002894063309
46,legacy,3,2,99382.82372169636
46,legacy,3,3,0.0
46,legacy,3,4,20.994173253691866
46,legacy,4,1,0.0
46,legacy,4,2,0.0
46,legacy,4,3,0.0
46,legacy,4,4,0.0
47,legacy,1,1,0.0
47,legacy,1,2,1.2101161673938987
47,legacy,1,3,0.0
47,legacy,1,4,8.25807768127186
47,legacy,2,1,0.0
47,legacy,2,2,0.0
47,legacy,2,3,0.0
47,legacy,2,4,0.13004826161488786
