TARGET_PERIOD,period_dt,actual,full_gcsr_eigenvector,full_gcsr_pagerank,full_gcsr_softmax,graph_only_eigenvector,graph_only_pagerank,graph_only_softmax,rs_selection,rs_selection_v2,bates_granger_mv,var_error,recent_best,equal
2006-05-01,2006-05-01,-0.29999999999999893,-0.5983617158335469,-0.5842792123247338,-0.5957139894530777,-0.5676450138769056,-0.5407142168224958,-0.5771998885600605,-0.3999999999999986,-0.5,-0.731202205426681,-0.5711111111105386,-0.45666666666666345,-0.587979797979797
2006-08-01,2006-08-01,-0.3000000000000007,-0.427804600122175,-0.4255738694307969,-0.43254905113991315,-0.4321831420525989,-0.40558640161044673,-0.42593616255496947,-0.5,-0.40000000000000036,-0.4999999999995,-0.39999999999960045,-0.5,-0.42775562720202054
2006-11-01,2006-11-01,-0.29999999999999893,-0.6349985350516248,-0.6330134998421071,-0.6337640838362744,-0.650578761271327,-0.6526998486538979,-0.6695217095509587,-0.5999999999999996,-0.5999999999999996,-0.6449549396591064,-0.6584283767636498,-0.5,-0.6727272727272725
2007-02-01,2007-02-01,-0.40000000000000036,-0.4233474954401446,-0.4274306198597364,-0.43113354663381315,-0.3846217845604258,-0.40630743858810503,-0.4119492197239384,-0.3000000000000007,-0.40000000000000036,-0.456680464915435,-0.29999999999970073,-0.3000000000000007,-0.44545454545454616
2007-05-01,2007-05-01,-0.3000000000000007,-0.3076433286176229,-0.3071575728845596,-0.30225720930246675,-0.30027538470999243,-0.33716847385770116,-0.29313694825566505,-0.40000000000000036,-0.15000000000000036,-0.36443735557853574,-0.39999999999960023,-0.20000000000000018,-0.29545454545454575
2007-08-01,2007-08-01,-0.09999999999999964,1.4928001421130593e-05,1.4928001421130593e-05,0.004100426147845785,-0.01681994347923547,-0.02604262183013451,-0.016047380175065545,0.0,-0.09999999999999964,-1.0956751830701894e-17,0.09999999999990014,0.20000000000000018,-0.018181818181817872
2007-11-01,2007-11-01,-0.20000000000000018,-0.27033671127765624,-0.12304494002080381,-0.12304494002080381,-0.13830847038858793,-0.13390504736496148,-0.12777803140240204,0.0,-0.2999999999999998,-0.1099999999998903,-0.08491718865325,0.0,-0.12818181818181829
2008-02-01,2008-02-01,-0.20000000000000018,-0.3691484230953371,-0.3679757747436309,-0.2954338096244249,-0.3375826931341521,-0.3385279457036616,-0.28893625702158293,-0.5,-0.39999999999999947,-0.5967073125657372,-0.30066464893718586,-0.39999999999999947,-0.28707070707070687
2008-05-01,2008-05-01,0.10000000000000053,-0.3446437308344425,-0.2907255090142827,-0.26744368765354637,-0.2785512830310917,-0.30078963947547843,-0.26667725403735604,-0.1999999999999993,-0.09999999999999964,-0.3999999999995994,-0.27373302871874133,-0.7999999999999998,-0.2721322004950485
2008-08-01,2008-08-01,0.09999999999999964,-0.14495816110641807,-0.07032025154062665,-0.37817270621832355,-0.1845792508775265,-0.2576935547542766,-0.3720092406262076,-0.6000000000000005,-0.2999999999999998,-0.3999999999996003,-2.648140825906053e-16,0.0,-0.366885157607772
2008-11-01,2008-11-01,0.40000000000000036,0.1309252697041443,0.11921275492086043,0.14039199944724357,-0.023140706496307412,-0.0964178927187231,-0.1539895091159482,0.10000000000000053,-0.5,0.09999999999990046,-0.1753521639643947,0.10000000000000053,-0.17139856134681203
2009-02-01,2009-02-01,0.9999999999999991,-0.13575758011707875,-0.2785494149004967,-0.24363013430682323,-0.21771208093964992,-0.3688504333908425,-0.33309866494695667,-0.2999999999999998,-0.2999999999999998,-0.3584474093357418,-4.692023696036311e-16,-0.2999999999999998,-0.4454545454545457
2009-05-01,2009-05-01,0.5,-0.9321892517554299,-0.545195461536322,-0.9212606817369482,-1.0293149692775203,-0.9894318427352086,-0.9213349685779341,-0.545195461536867,-1.1999999999999993,-0.9476831272796111,-0.8999999999990999,-0.545195461536867,-1.0706500069914116
2009-08-01,2009-08-01,0.40000000000000036,-0.5999999999993996,-0.5999999999993999,-0.5999999999993998,-0.6506925956994194,-0.9772272373029945,-0.8174664774168069,-0.5999999999999996,-1.0,-0.6633683580472,-1.0999999999989027,-0.5999999999999996,-1.1673523322557326
2009-11-01,2009-11-01,0.20000000000000107,0.3999999999996001,0.399999999999598,0.39999999999960006,-0.01875477305984547,-0.3132161809990062,-0.09906841365487835,0.40000000000000036,0.5999999999999996,0.39999999999960023,-0.3046304412387263,0.40000000000000036,-0.38598535519343863
2010-02-01,2010-02-01,0.29999999999999893,0.7621620066868794,0.8157963554978033,0.8016657113703238,0.4342910633569407,0.48530510743085714,0.5610482054698452,1.0048465068644,1.1999999999999993,1.0408067441979216,0.5000066996172624,1.1999999999999993,0.4890831862057833
2010-05-01,2010-05-01,0.09999999999999964,0.8869310552128941,0.8869310552128941,0.8869310552128941,0.32489756994831487,0.5246383489842698,0.6140703932458533,0.0,1.0,0.9025987737838697,0.8072957445231341,1.5,0.8172727272727275
2010-08-01,2010-08-01,-0.1999999999999993,0.46253676322608306,0.46253676322608306,0.46253676322608306,0.1257996033118977,0.09254221925268345,0.15768380741153337,0.10000000000000142,0.10000000000000142,0.3571454066548425,0.48529964444398227,1.4000000000000004,0.4906409272727281
2010-11-01,2010-11-01,0.0,0.5210135646240696,0.5210135646240696,0.521005314097074,0.49592420726163844,0.4530439951987878,0.20093600866978575,0.5,0.40000000000000036,0.5390717526755234,0.5266983330318884,0.40000000000000036,0.5512272727272726
2011-02-01,2011-02-01,-0.09999999999999964,0.6509117532046313,0.5574158921793831,0.5535272820033443,0.4667444481857266,0.46061922562538005,0.4473164662147204,0.5,0.8000000000000007,0.7921648897402166,0.70358791264926,0.8000000000000007,0.46117727272727316
2011-05-01,2011-05-01,0.0,0.34271977717618085,0.34271977717618085,0.34271977717618085,0.3232884326235506,0.3465577619393053,0.3453017917624718,0.7999999999999989,-0.09999999999999964,0.37874408233524187,-0.0999999999998989,-0.09999999999999964,0.3559272727272725
2011-08-01,2011-08-01,0.1999999999999993,0.03070556214559058,0.03070556214559058,0.03070556214559058,0.12235608282879581,0.08467429140676852,0.1607575806468172,0.1999999999999993,0.3484999999999996,-0.13106117110666704,-0.19529600936956779,0.3484999999999996,0.19531818181818136
2011-11-01,2011-11-01,0.3000000000000007,-0.22817978970137473,-0.270356135852715,-0.32849111642812445,-0.16299301595042795,-0.22404010248460218,-0.14506409513822388,-0.5999999999999996,-0.40000000000000036,-0.46372232796861473,-0.019638138122341664,-0.40000000000000036,-0.14854373881818134
2012-02-01,2012-02-01,0.29999999999999893,-0.8063266957807392,-0.7213976167183775,-0.6991729408436749,-0.6295626179445879,-0.6569290885808272,-0.6994261997373056,-0.8000000000000007,-0.8000000000000007,-0.9043527246881905,-0.7999999999992007,-0.8000000000000007,-0.753529411763637
2012-05-01,2012-05-01,0.3000000000000007,-0.8824966338801477,-0.9655231029500296,-0.8590815094992157,-0.7628418805245573,-1.0775255877750645,-1.010324468524564,-0.694777777782221,-0.8999999999999986,-1.1620134657224552,-1.1999999999987994,-0.8999999999999986,-1.188418954251858
2012-08-01,2012-08-01,0.09999999999999964,-0.9999981406476924,-0.960047841479516,-0.9819001841484334,-0.9984740791381262,-0.9362067243733414,-0.9149338071126965,-1.0,-0.9000000000000004,-1.1128609427659863,-0.9999999999989995,-0.9000000000000004,-0.9171390374363636
2012-11-01,2012-11-01,0.40000000000000036,-0.3430200155000729,-0.3430200155000729,-0.3430200155000729,0.28253284003616697,-0.2295419134001955,-0.09613600473964429,0.3000000000000007,-0.5,-0.6225217711865312,-0.699999999999299,-0.5,-0.28298663101818144
2013-02-01,2013-02-01,0.1999999999999993,-0.33832051312149547,-0.34679006890431147,-0.36012024041237495,-0.255227093663946,-0.307648758101203,-0.3187815547945048,-0.1999999999999993,-0.1999999999999993,-0.2558780797950497,-0.3999999999996,-0.1999999999999993,-0.38616457218818206
2013-05-01,2013-05-01,0.0,0.08905547141101536,-0.24266760557815384,-0.24266760557815384,-0.08974283456681656,-0.14358019613534753,-0.18325580574346498,-0.09999999999999964,-0.29999999999999893,-0.4714313515389259,-0.5999999999993993,-0.09999999999999964,-0.22981283422727197
2013-08-01,2013-08-01,-0.1999999999999993,-0.05612948863091461,-0.15574666350098484,-0.054116634474217634,0.010737569411563562,-0.06546229022046829,0.046423970451473666,-0.09999999999999964,0.0,-0.12149750957879604,-0.08045729097875963,0.6000000000000014,0.04909090909090982
2013-11-01,2013-11-01,0.0,0.7669626898745521,0.7669626898745521,0.7669626898745521,0.598380634612271,0.6400661557335143,0.6971553359621576,0.0,0.9000000000000004,0.7074531039860662,1.199999999998799,1.0,0.7061780748636364
2014-02-01,2014-02-01,-0.09999999999999964,0.8109843711791701,0.8109843711791701,0.8109843711791701,0.6619933693956466,0.7395528890734756,0.7366819663794018,1.0,0.6999999999999993,0.6999999999992993,0.8283866489893147,1.1999999999999993,0.8186363636363634
2014-05-01,2014-05-01,-0.3000000000000007,0.9909983310216901,0.9909983310216901,0.9909983310216901,0.6347479327257987,0.6982467129578371,0.791546587137194,0.09999999999999964,0.7999999999999989,0.9787717895542528,1.0312635189540642,1.0999999999999996,0.9281363636363632
2014-08-01,2014-08-01,-0.29999999999999893,0.9439012593338976,0.9439012593338976,0.9439012593338976,0.6270047139907828,0.640098304572458,0.554727858696112,1.0,0.09999999999999964,1.1458550544338684,0.8974890478147062,0.7000000000000011,0.8242245817363639
2014-11-01,2014-11-01,0.09999999999999964,1.0983441637034155,1.1107785948977926,1.1158062969842901,0.5272699321532838,0.8893321126532997,0.932259525897731,0.5,0.5,1.2190232631665292,1.2809472554417807,0.5,1.0615781877090904
2015-02-01,2015-02-01,-0.3000000000000007,0.7647137897240731,0.7323914706537995,0.7442206260074076,0.5289764564375526,0.6660789365004611,0.6881760259531923,0.5499999999999989,0.5499999999999989,0.7991044838543372,0.8240131375637201,0.5499999999999989,0.7301818181818177
2015-05-01,2015-05-01,-0.29999999999999893,0.7106508632365814,0.7024485822944159,0.6743995776759272,0.6898907117879992,0.6127385391963299,0.6244583916181615,0.5,0.5999999999999996,0.7554483591937197,0.699999999999301,0.5999999999999996,0.6715454545454549
2015-08-01,2015-08-01,-0.3000000000000007,0.9941912999667589,0.994433862790579,0.9941912999667589,0.9019886724516579,0.9500443770945807,0.9231183326367651,0.8999999999999986,0.8999999999999986,0.9975529655028451,0.9545472314424226,0.8999999999999986,0.9425172698254533
2015-11-01,2015-11-01,-0.1999999999999993,1.14382545377095,1.144949173969447,1.0654690142641243,0.8909988106997953,1.059460274271615,1.043693978277621,1.0,1.0,0.9609493510121508,1.3522807838957824,0.8000000000000007,1.0984861169090907
2016-02-01,2016-02-01,-0.20000000000000107,1.0468563945674878,0.9935969484148556,0.9333621990976523,0.8906744658110548,0.9693239307864914,0.9350205059750943,0.7999999999999989,0.7999999999999989,1.1331242518225766,1.104436476807795,0.7999999999999989,0.9926513883090903
2016-05-01,2016-05-01,-0.1999999999999993,0.9488579540077076,0.9674886850242846,0.8673575461104617,0.71587539811393,0.8697900321094353,0.9080909234854593,0.7000000000000011,0.7000000000000011,1.0317666764637956,1.0916356610485425,0.7000000000000011,0.994096219736364
2016-08-01,2016-08-01,-0.3000000000000007,0.802181574702698,0.9437602716691033,1.0228491462660059,0.6217152067483379,0.941572922383771,0.9434834156035345,0.8746379186999995,0.5999999999999996,1.0960750855349015,0.9264017782522026,1.0,1.0381489016999998
2016-11-01,2016-11-01,-0.09999999999999964,1.030371743835231,1.0340611080596092,1.039119188520526,1.032592243367801,1.0339052506241404,1.028334496546722,1.0,1.0,1.0989310980696816,0.9665342245563808,1.0,1.0280909090909092
2017-02-01,2017-02-01,-0.40000000000000036,0.889977191669404,0.889977191669404,0.889977191669404,0.7768275660158265,0.8719786780255785,0.8544284940477511,0.8495000000000008,0.9000000000000004,0.8735927842916428,0.8361942327596271,0.9474999999999998,0.8747909090909094
2017-05-01,2017-05-01,-0.1999999999999993,1.1500766097303974,1.1500766097303974,1.1500766097303974,1.1312212517222293,1.1757209177499388,1.1685248485398374,1.0999999999999996,1.1600000000000001,1.0744829610847084,1.2387661036546964,1.200000000000001,1.1883418342818188
2017-08-01,2017-08-01,-0.20000000000000107,1.2999999999986989,1.1908686269037967,1.1914077797581848,1.2995739135230522,1.2513147320764717,1.2669004244776016,1.299999999999999,1.299999999999999,1.1465121953339528,1.2279995814100504,1.1999999999999993,1.2656525261727265
2017-11-01,2017-11-01,-0.29999999999999893,1.2142440460584116,1.21738647784679,1.21738647784679,1.2056742711315687,1.2087269486500833,1.2033068240484959,1.200000000000001,1.3000000000000007,1.2176535057242617,1.1983291088167392,1.2075000000000014,1.202283085852728
2018-02-01,2018-02-01,-0.20000000000000018,1.0917762662513977,1.0917762662513977,0.8773603387859862,0.9255120783036327,0.9745530676762513,0.9572333404617731,0.7999999999999989,1.1999999999999993,1.1330519409372806,0.8322912149368136,1.1999999999999993,1.0802712167909085
2018-05-01,2018-05-01,-0.2999999999999998,1.032418628377331,0.8584826186896309,0.8914064972342061,0.9520797840887157,0.9851060913740649,0.9959899482510912,0.7999999999999998,0.9569999999999999,1.1852748477971153,0.9569999999990426,0.9569999999999999,1.0808604242818183
2018-08-01,2018-08-01,-0.20000000000000018,0.6999999999992998,0.6999999999992997,1.0304824651450841,0.9427641546110238,1.015130337224549,1.1032213780386473,0.6999999999999993,1.1494999999999997,1.1011621064682562,0.8320103363913749,1.1494999999999997,1.1453388645090903
2018-11-01,2018-11-01,-0.10000000000000053,0.7999999999991998,0.7999999999991997,0.8816796785024822,0.7989322508345861,0.8698950767392354,0.9011389343988357,0.7999999999999998,0.9699999999999998,0.9757073677262376,0.8526281650928867,0.7999999999999998,0.9507966128090909
2019-02-01,2019-02-01,-0.09999999999999964,0.7999999999992009,0.6960073227894362,0.7194350117236854,0.7922879922401741,0.7773249716871903,0.8091473225957908,0.6000000000000005,0.8000000000000007,0.8425711243414732,0.7820133635089628,0.8000000000000007,0.8541382971590912
2019-05-01,2019-05-01,-0.20000000000000018,0.9402732708101378,0.9744327909402669,0.9737616666928307,0.8957172074661044,0.9361044065273314,0.9277048333082546,1.0,1.0,0.9636475726734512,0.8122944525107163,1.0,0.9396657343181818
2019-08-01,2019-08-01,-0.09999999999999964,0.9755446635624707,0.7558130333028731,0.6999999999993006,0.7253488837534147,0.8709273753958725,0.9199632563829265,0.7000000000000002,0.7000000000000002,0.9612618071746718,0.7116864705290613,1.2000000000000002,0.975298159836364
2019-11-01,2019-11-01,0.0,0.8999999999990993,0.8999999999990992,0.8999999999990993,0.901620179892943,0.9234889819106672,0.9178086318318984,0.8999999999999995,0.8999999999999995,0.9076423438241129,0.9227460010952895,0.7999999999999998,0.9210395701163637
2020-02-01,2020-02-01,-0.10000000000000053,0.8462706435897153,0.8308866946152265,0.8651552819696683,0.7851798985783535,0.8579769874423325,0.9286396984285025,0.5999999999999996,0.8999999999999995,1.046212892999228,0.8999999999990994,0.8999999999999995,0.9464585990963635
2020-05-01,2020-05-01,0.40000000000000036,0.6803023624425817,0.6999999999993,0.7660603895362521,0.7838388192582947,0.8240558715068467,0.8298253838078864,0.7000000000000002,0.7000000000000002,1.0707551810029685,0.8473710185246045,0.7000000000000002,0.8693263446741419
2020-08-01,2020-08-01,0.7999999999999998,0.45618137712466145,0.38863316370268935,0.39018371163217036,0.47643650325076964,0.3850417727087747,0.4143279018745739,0.5,0.20000000000000018,0.41530463197298384,0.4665716416168488,0.20000000000000018,0.41698970099636345
2020-11-01,2020-11-01,-0.39999999999999947,-0.45726250875509855,-0.39394078472394717,-0.4089785885197798,-0.3930040171744728,-0.4040797576000438,-0.4374360041880637,-0.20000000000000018,-0.45726250875555596,-0.3667956434087261,-0.45499445123665505,-0.5,-0.44027280775919186
